TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
209274,tt2718492,movie,Ida,2013-10-25T00:00:00Z,,,7.235,9.0,2015-09-17T00:00:00Z
429,tt0060196,movie,"Il buono, il brutto, il cattivo",1966-12-23T00:00:00Z,,,8.468,9.0,2019-07-20T00:00:00Z
49046,tt1016150,movie,Im Westen nichts Neues,2022-10-07T00:00:00Z,,,7.722,8.0,2023-08-03T00:00:00Z
44992,tt1433813,movie,IMAX Hubble,2010-03-19T00:00:00Z,,,7.081,7.0,2016-10-15T00:00:00Z
8321,tt0780536,movie,In Bruges,2008-02-08T00:00:00Z,,,7.496,8.0,2016-03-13T00:00:00Z
14585,tt0119361,movie,In the Company of Men,1997-03-28T00:00:00Z,,,6.732,5.0,2016-09-07T00:00:00Z
467909,tt1321510,movie,In the Heights,2021-06-10T00:00:00Z,,,7.117,4.0,2022-08-22T00:00:00Z
9386,tt0107206,movie,In the Line of Fire,1993-07-08T00:00:00Z,,,6.964,6.0,2023-08-10T00:00:00Z
46738,tt1255953,movie,Incendies,2010-09-17T00:00:00Z,,,8.106,9.0,2021-07-02T00:00:00Z
27205,tt1375666,movie,Inception,2010-07-15T00:00:00Z,,,8.37,9.0,2023-07-25T00:00:00Z
260513,tt3606756,movie,Incredibles 2,2018-06-14T00:00:00Z,,,7.453,8.0,2018-06-19T00:00:00Z
87,tt0087469,movie,Indiana Jones and the Temple of Doom,1984-05-23T00:00:00Z,,,7.304,7.0,2016-09-29T00:00:00Z
16869,tt0361748,movie,Inglourious Basterds,2009-08-02T00:00:00Z,,,8.215,9.0,2015-07-26T00:00:00Z
411741,tt5962210,movie,Ingrid Goes West,2017-08-11T00:00:00Z,,,6.399,6.0,2019-10-20T00:00:00Z
150540,tt2096673,movie,Inside Out,2015-06-17T00:00:00Z,,,7.91,5.0,2015-07-01T00:00:00Z
11049,tt0368667,movie,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003-05-28T00:00:00Z,,,7.794,8.0,2023-06-11T00:00:00Z
157336,tt0816692,movie,Interstellar,2014-11-05T00:00:00Z,,,8.467,10.0,2014-12-29T00:00:00Z
360029,tt4846318,movie,Into the Inferno,2016-09-07T00:00:00Z,,,6.98,7.0,2024-10-02T00:00:00Z
5915,tt0758758,movie,Into the Wild,2007-09-21T00:00:00Z,,,7.8,7.0,2021-02-08T00:00:00Z
77338,tt1675434,movie,Intouchables,2011-11-02T00:00:00Z,,,8.269,8.0,2018-07-21T00:00:00Z
41110,tt1226236,movie,Io sono l'amore,2010-03-19T00:00:00Z,,,6.741,4.0,2023-11-19T00:00:00Z
399174,tt5104604,movie,Isle of Dogs,2018-03-23T00:00:00Z,,,7.844,9.0,2018-04-10T00:00:00Z
3078,tt0025316,movie,It Happened One Night,1934-02-22T00:00:00Z,,,7.817,8.0,2021-02-09T00:00:00Z
1585,tt0038650,movie,It's a Wonderful Life,1946-12-20T00:00:00Z,,,8.276,6.0,2016-09-29T00:00:00Z
103663,tt2106476,movie,Jagten,2012-10-25T00:00:00Z,,,8.097,7.0,2016-08-24T00:00:00Z
25,tt0418763,movie,Jarhead,2005-11-04T00:00:00Z,,,6.675,9.0,2017-01-02T00:00:00Z
578,tt0073195,movie,Jaws,1975-06-20T00:00:00Z,,,7.679,7.0,2019-11-09T00:00:00Z
820,tt0102138,movie,JFK,1991-12-20T00:00:00Z,,,7.602,7.0,2016-09-29T00:00:00Z
191720,tt1935156,movie,Jodorowsky's Dune,2013-08-30T00:00:00Z,,,7.832,7.0,2023-08-05T00:00:00Z
245891,tt2911666,movie,John Wick,2014-10-22T00:00:00Z,,,7.454,7.0,2018-01-14T00:00:00Z
324552,tt4425200,movie,John Wick: Chapter 2,2017-02-08T00:00:00Z,,,7.337,7.0,2018-01-14T00:00:00Z
458156,tt6146586,movie,John Wick: Chapter 3 - Parabellum,2019-05-15T00:00:00Z,,,7.441,2.0,2023-08-02T00:00:00Z
515001,tt2584384,movie,Jojo Rabbit,2019-10-18T00:00:00Z,,,7.993,8.0,2019-11-01T00:00:00Z
475557,tt7286456,movie,Joker,2019-10-01T00:00:00Z,,,8.128,10.0,2019-10-06T00:00:00Z
7326,tt0467406,movie,Juno,2007-12-05T00:00:00Z,,,7.055,7.0,2024-12-31T00:00:00Z
329,tt0107290,movie,Jurassic Park,1993-06-11T00:00:00Z,,,7.965,6.0,2016-11-04T00:00:00Z
464112,tt7527030,movie,Kapture: Fluke,2017-08-03T00:00:00Z,,,6.039,6.0,2019-09-29T00:00:00Z
23483,tt1250777,movie,Kick-Ass,2010-03-26T00:00:00Z,,,7.122,6.0,2016-11-08T00:00:00Z
24,tt0266697,movie,Kill Bill: Vol. 1,2003-10-10T00:00:00Z,,,7.971,10.0,2015-10-28T00:00:00Z
393,tt0378194,movie,Kill Bill: Vol. 2,2004-04-16T00:00:00Z,,,7.876,8.0,2016-09-29T00:00:00Z
466420,tt5537002,movie,Killers of the Flower Moon,2023-10-18T00:00:00Z,,,7.406,8.0,2023-11-07T00:00:00Z
1029955,tt22408160,movie,Kinds of Kindness,2024-05-30T00:00:00Z,,,6.502,8.0,2024-07-07T00:00:00Z
207703,tt2802144,movie,Kingsman: The Secret Service,2015-01-24T00:00:00Z,,,7.62,6.0,2015-08-02T00:00:00Z
